index,token_length,reviewText
2880,639,"the nexus one is listed as supporting a maximum of 32gb on an sdcard.based on reports here and elsewhere, i took out my 32gb card and put in this 64gb card and powered up the phone.the phone reported that the card was defective in a notification.i pulled down the notifications and tapped the notification that issued that report. it offered to format the card.i would note that i have clockwork recovery and the rom manager app installed on my rooted cm7, android 2.3 n1.after tapping the notification, the phone formatted the card. all went well. since i had neglected to move my rootexplorer file manager off the sd card prior to putting in the new card, i was not able to check directly on the phonethat the entire 64gb was available. but, as it turned out, it was.while doing the above, i had been using winzip to make a copy of the contents of my 32gb card to my pc using a usb adapter . when that completed,i powered down the phone and put the new 64gb card in the pc using the micro sd adapter that came with that card and a usb adapter for that adapter.it showed about 60gb the usual for a 64gb card, i guess .interestingly, some files mainly folders related to clockworkmod had been placed on the sd card during formatting, which shows where the formatting codeprobably came from. take note if you do not have rom manager clockworkmod on your phone, your mileage may very well vary. if you have root, i would suggest obtainingrom manager from google play prior to doing the above. anyway, i just deleted those files so that they wouldn't conflict with any of the old files i was aboutto copy.i then unzipped the saved contents of my old card onto the new card.then, i put the new card in the n1 and powered it up. it worked perfectly, right away.root explorer showed about 60gb of capacity of which about 30 was used by me i really needed this card! .tried out spotify premium and it played fine from saved files that had been on the old card and were now transferred to the new card. other thanroot explorer, haven't tried any other apps yet, but am expecting good news based on the experience thus far!i tried a full backup using rom manager and it apparently worked without incident.so, based on the above, i would recommend this card for the nexus one! what a break to get another 30 gb on an aging phonethat is nonetheless still one of the best phones ever.caveat keep in mind that i just unwrapped this thing and have used it for all of two hours."
2933,1242,"i bought this card, originally for my galaxy note ii, with the intentions of using it as my primary downloader, but i could not get it to format correctly for the phone, even using third party format software.i then tried it in my galaxy tab2 7.0plus......same problems.i finally, and ridiculously, put the card in my nikon d5100 camera. i could take a whopping 8k photos, on high large settings not that i would ever need to take that many photos in one session . this was the last option i had, to use the card.it worked well, taking photos of a holiday, and thankfully, it did not fail before i could get my photos onto a computer. since then, i have inserted it back in the camera, and reformatted like you always should , and bam, one photo is good, after that, failure, every single time. so now i have a 64gb card, that is capable of taking and storing one photo at a time, before i must run a fix file system on my computer.don't waste your money on this card, over priced, not really faster than the other cards i have, and zero longevity. this may be a one off, but i think it is a problem created by the proprietary format exfat, that makes this card a loser, or more to the point, the poor customer who buys it.update july 2012after contacting sandisk, they have offered an rma, but first they must verify that i have not tried to recover or wipe the data on the card, and i must ship it, at my expense, to taiwan. i have since emailed them in reply to the requested information date of purchase, photos of the card, packaging ect , and i told them that the data on their is my data, and if i could have accessed the card, i would have wiped it, why should i give them my information, stored on the card? that makes me less than happy, i am guessing that they want to discourage returns. who would want to send data to a company, not knowing who will access it, and what they will do with the information contained? i would have wiped the card, but it was unreadable, unable to format, unable to do anything. i will send it to them, hoping that the information is destroyed, along with the bad card.sandisk, you are asking a whole lot of your customers, and since this card has gone bad, i have had several other cards from them, go bad as well, seems to be a whole lot of cards being shipped that die in very short time periods. i used to love their products, and their older flash drives are great, still using a micro cruzer that is 6 years old, and going strong. i have not had one single microsd card, from this company, last more than three months, since i moved to the philippines. either they send their junk to the philippines, or they have dropped qc from their business model, to create higher profit margins. update 2 after emailing sandisk, and expressing my displeasure with having to return the item, intact, so that they can assess the card, and look at recover what ever personal information may have been stored on the card, they rescinded. i can only assume that they want to get the card back, to verify that it is bad, or make sure that you are not just trying to get a free card out of them, which i can understand. instead of requiring me to send the card back to them, they asked that i cut the card, and send a photo of the destroyed card, so they could process a new card, to be sent to me, directly in the philippines. i hammered them pretty hard in this review, and in the email i sent to them, regarding the bad card, and sometimes, you get results, in this case, i give them 5 stars for doing the right thing. i had no problem cutting the card, since it would not operate in any of my devices anyway, but i did have a problem returning the device, intact, with out knowing what information was stored on the card banking, amazon account info, passwords, ect. i would have just kept the card, destroyed it, and never bought another from sandisk. with their faith restoring gesture, i will not remove them from my list of companies to avoid. i just hope that they get better at qc. i returned another defective card to the retailer yesterday, only to find out that you must have the original packaging for a replacement. i was lucky to still have one of my packages, but since i bought several of the cards, i am not sure if i gave them the matching package for the card i returned.i would suggest that if you are like me, and have several devices 2 dslr's, galaxy tab2, galaxy note 2, sii, lg p920 , that you find a way to mark each card package, and keep the package, in the case that the card should go bad. i have had more than half of my sandisk 32gb cards, fail on me, in less than 6 months. i only buy them, because of the cards available in my area, these are the best, which is scary, with such a high failure rate."
2992,889,"i got my wife a samsung galaxy tab 3 10.1 for christmas, and it took awhile for her to start figuring out all the things it can do. once she did, that led, of course, to her wanting to watch movies on it. that was my signal to spring into action, that is, if i wanted to prevent her from running wild, buying digital copies of every movie we already have in dvd or blu ray. you can't play dvd or blu ray movies on this device, but you can use your computer's dvd or blu ray drive and commonplace third party software to convert movies in this format into .mp4 and or several other types of video files that can be played on this tablet.since this particular tablet is capable of playing high definition video screen resolution is 1280 x 800 pixels , and we want to use all of that high def capability, my conversion files tend to be pretty large average 5 to 10gb per movie ... way too big to be stored on the tablet's limited internal memory. that's where the tablet's microsd slot ... and this sandisk flash memory ... comes in. i make huge mp4's, store them separately on a 1.5 terabyte drive, and then load as many of them as i can on this chip, which shows up in the tablet as a separate memory source. then all you have to do is pull up one of the movie files from the card, and hit play. you can use the device's standard video player, or get an app with more controls.watching high def video on a tablet that's streaming the data from a memory card rather than the tablet's internal memory requires a memory card with very high read speed, and this sandisk card's class 10 rating fills that bill. that's the difference between cheaper microsd that's primarily designed for simple data storage, and microsd that's designed for higher active transfer read speeds. the class 10 designation generally means that the subject card will transfer data at a minimum rate of 10mb per second. this sandisk ultra card is capable of transferring data at speeds of up to 30mb per second, depending on the speed of the device you're using it in, and other particulars of the way you're using the device. frustration free packaging means the chip, sd adapter, and plastic case comes in a little, sealed cardboard envelope with a pull tab opener. this card comes pre formatted for android, and my use of it in the galaxy tab 3 for watching high def .mp4 movies has thus far been flawless.finally, don't let yourself get burned by counterfeiters in trying to save a buck. while pricing on memory tends to fluctuate, amazon's current pricing on this card is very competitive with any all vendors out there selling genuine sandisk ultra memory. buy from amazon, or other trustworthy vendor, because i just learned the hard way that these memory cards are being counterfeited in huge numbers ... that is, the counterfeiters are placing sandisk labeling packaging on inferior, generic microsd, and selling the bogus chips on ebay and anywhere else they can. i bought three from amazon after i got burned by a chinese seller on ebay. the counterfeit packaging and labeling was good enough to fool me, until i actually tried one of the chips in the galaxy tab 3 ... the write speed that is, the amount of time it takes to transfer files onto the microsd card was dramatically worse than the speed of a genuine sandisk ultra card, and the read speed was totally inadequate for playing movies on the galaxy tab 3. i may never have figured it out at all if i didn't already have one other, genuine sandisk ultra with which to compare the fakes.if you want the best, most reliable memory for the microsd slot on your shiny, new android device, look no further ... this is it."
3344,728,"my review is a little backwards 8230 but i thought the most relevant should go first.warning only buy this card on sale!the typical price since summer 2013 is about 24 for 32 gb, and about 48 for 64 gb. do not pay any more than this, and you can actually pay less if you have the luxury of time patience.the lowest non lightning price hit about 18.00 for 32gb and 35 for 64gb, in early december. i basically buy when the price hits 20 or less, and the 64 nears 40.00.from december 2013 to january 2014, i watched these cards change price on an almost daily basis. they initially went on sale for about 17.95 and 34.95 for 32 and 64 respectively. i watched them slowly increase in price, with random dips and peaks for a month. on january 6th 2014, they still show as a 34 best deal on amazon 34 for 34 7 more days 34 but they are at the highest price point since last summer and higher than i have ever payed for these cards! so don't let the 34 best deals 34 section deceive you, at 27 50, these are not a 34 deal 34 in terms of price.okay, here's my actual 34 review 34 of these absolutely great sdxc cards. i have tried a variety of microsdxc cards, and so far the samsung ultra uhs1 are the best and the price can't be beat for all the most important reasons speed, capacity, reliability, durability.i have not had a single failure, and i use these cards in my nook hd , nexus 7 2013 via usb and my canon 5d mark ii with converter and macbook pro in the card slot . they're durable and waterproof, and i can use the same card in all these devices without reformatting. i even had one go through the wash, and i still use it for pictures.for the technically inclined, i have cards with both the clockwork mod bootloader for the nook hd and the magiclantern firmware for my canon eos 5d ii on the same card. i can pull it from the nook, shoot pictures with the camera, and look at the results on the nook by just pulling the card out of one device and placing it in the other. this should be possible with any sdxc sdhc card, but it turns out that the samsung uhs1 is the only card i've found that works reliably. some cards won't boot because they're too slow too finicky, but all my samsung uhs1s work great the 64gb will not boot in the nook, but no 64gb card will .i keep my eyes open for price drops on these cards because they've performed so well for me. samsung also has a newer, faster card, but its price point hovers somewhere north of 34 prohibitive 34 so i still stick with these. and that's good news regardless because as the new card increases its market share, these should drop even further in price."
3448,1074,"i have tested dozens of sdhc and micro sdhc cards. one disturbing trend i noticed is that the speed class rating for micro sdhc is typically inflated. for example, a 'class 10' rating means the card must deliver a sequential write speed of at least 10mb s. but somehow, a class 10 microsdhc cards is always slower than a class 10 sdhc card from the same manufacturer. case in point thepny 32 gb microsdhc card p sdu32g10 efs2 claims to be 'class 10', yet it can only write at 8.6mb s maximum, while the full sizepny p sdhc16g10achieved 13.4mb s according to crystaldiskmark v3.01.thissandisk ultra 32 gb microsdhc class 10 uhs 1 card sdsdqua 032g u46a , however, proves to be the exception. it achieved a sequential write speed of over 10mb s according to two different benchmark programs 11.8mb s in crystaldiskmark , 10.6mb s in h2testw v1.4 . this is faster than all my other microsdhc cards, including two 'class 10' cards frompnyandpolaroid.a closer look at the file transfer speed using flash memory toolkit revealed another nice surprise for writing small files, this sandisk ultra microsdhc card performed just as well as its full size counterpart, thesandisk ultra sdhc sdsdu 032g affp . in contrast, all my other class 10 microsdhc cards perform poorly while writing smaller files. see the benchmark results i uploaded to 'customer images' for details.when you use a memory card in a digital camera to record hd video, it needs to store a huge video file each session. that means its sequential write speed is most critical. when used in a tablet or a smart phone, however, the card's random write speed for small files is more important. that's why in such applications, the sandisk microsdhc will perform faster than the pny and polaroid cards, even though they are also rated as 'class 10'. bottom line as of this writing, the sandisk ultra microsdhc card ia actually priced lower than other class 10 cards from pny and polaroid. this makes the sandisk the best value especially if you need honest class 10 performance across all platforms. side notes do not confuse this sandisk ultra card withsandisk mobile ultra microsdhc sdsdqy 032g u46a . the latter is rated for class 6 only. the size of this '32gb' card is 29.7gb according to my computer. this is actually normal because computer people count one gig as 2 to the power 30 , which is 7.3 larger than one billion. so 29.7gb translates to 31.9 billion bytes, which is '32gb' according to marketing people. update on feb 4, 2013 1. amazon combined the sandisk ultra 32gb and 64gb cards on the same product page. please beware that your intended appliance must be compatible with 'sdxc' in order to used the 64gb version. my original review refers to the 32gb 'sdhc' version.2. there are two part numbers for the same card. if you start from the amazon product page and select 'retail packaging', you'll see the part number of sdsdqua 032g u46a. but if you click on 'frustration free package', the part number changes to sdsdqu 032g affp a. update on oct 5, 2013 the sandisk microsdhc card works great in my new samsung galaxy s3, without the need for reformat the default format is fat32 update on dec 26, 2013 my old test results were limited by the card reader and usb 2.0 port used. i re tested the sandisk uhs1 micro card using thetranscend rdf5 card readerconnected to an usb 3.0 port. here are the results from 'crystaldiskmark 3.01 x64' sequential read speed 40.0mb s was 34.8mb s when connected to usb 2.0 port sequential write speed 13.1mb s was 12.6mb s when connected to usb 2.0 port"
3756,742,"the primary reason for buying this extra capacitysandisk ultra 64 gb microsdxc class 10card was to use it insamsung galaxy tab 2 10.1 inch model gt p5113 and i am happy to share that you can get this to work flawlessly after some initial glitches. read below firstly you need to be aware that the samsung tablet model gt p5113 currently runs with android os 4.1.1 with kernel 3.0.31 523998 and build number jro03c.p5113ueclk7. jelly bean my experiences shared here are with that level of android os your experiences may vary depending on what version of os you are running. the sandisk ultra 64 gb microsdxc card purchased from amazon retail packaging gets recognized just fine however when the tablet's media device a.k.a 'mtp' application attempts to talk your pc via usb cable the tablet simply reboots! and after that the card is presented to the pc. really strange indeed!this baffled me for couple of hours. firstly, i attempted to format the card exfat in pc and it formatted just fine. after that i attempted to use it in the tablet to see the same behavioral oddity of instantaneous reboot of the tablet as 'mtp' application tries to communicate with the pc. this made me investigate the issue further and i determined the root cause was the fact that sandisk now seen to factory format the card with 'exfat' but also somehow seen to include an 'offset' of 16mb at the beginning of the card which shows up as 16mb unallocated region in the initial sectors on this card under windows disk management tool.the solution is to get rid of that 'unallocated' 16mb partition on the card. you could do it in pc but that might require some windows command line experience and using 'diskpart' utility and what not and i do not want to confuse people here with that process. for most novice users the process should be very simple, just insert the card on the tablet and use the 'native' sd card format tool under 'settings' that android os 4.1.1 has and it will get rid of that 16mb partition and happily remount it. now after this simple process the 'mtp' application works just fine with pc to transfer files to the sd card without any strange reboot phenomenon.not sure why sandisk formats their class 10 card in this fashion they never did it with their class 6 cards earlier and there's gotta be some technical explanation for why they include that 16mb partition that only sandisk can give. in the end if you reformat the card in the tablet which defaults to exfat the card is seen to work just fine.bottomline this is an awesome 64gb capacity microsd card from a reputed manufacturer for budget minded people and gets the job done beautifully. the read and write speeds are adequate enough for most audio,video picture file formats in a tablet. the glitch mentioned above forced me to give four stars instead of five stars but let that not stop you from making a decision to buy it.highly recommended!cheers!"
3966,926,"if you were looking for a class 10 microsd card in order to directly transfer files from your pc to your phone the fastest way possible you can go with a cheaper class 4 instead of this one. the speed is not much different than other class 4 microsd cards i've had. it's very far from the 30mb s they promise, i got only about 4.5mb s at much, and after a few minutes it's downhill from there. i tested on both windows and linux and didn't see a difference. luckily there's not a lot of difference in price between a high quality class 4 and this one but then again, maybe i didn't look at the class 4 the way i should have since i was focused on getting a class 10. oh well, you've been warned. don't expect magic from this card.update 12 11 2013 sandisk proactively answered this review to ask me to contact them. the reason i didn't contact them first it's because you usually receive slimy answers from this tech support and hardly any solution or help. it is indeed a waste of time. after sandisk comment i contacted them through one of their live chat agents and this is the interchange. my suspicious were confirmed and i indeed wasted my time daniel s. hello, thank you for contacting sandisk. my name is daniel s.. please give me a moment while i look into your question.fer da heyfer da i just got this answer from sandisk http www.amazon.com review r3ema7xpn7idzd ref cm cd notf message?ie utf8 fxfnzei17mh7nd 1 tx7vkc9upwni9x mx3fkeev0wiile3daniel s. please tell me what is written on the face of the memory card?fer da never thought of contacting you because i thought i was just going to waste my time, but it was nice to be contacted proactively by youfer da okfer da the same thing as the one on the picturefer da sandisk ultrafer da microsdhc ifer da 32gbdaniel s. please allow me a moment.fer da will you need more info from the card?daniel s. the sandisk ultra card is a uhs i card and provides optimum performances when used with a uhs i enabled device or card reader.fer da my phone is off.. lolfer da it says that it is a class 10 card, i bought it because of the promise of better speeds than the regular class 4 when using it with my phonedaniel s. i would like to inform you that you will get the minimum read speed of 10 mbps on a uhs i enable device as the card is built on the uhs i technology.fer da and write speeds?fer da i'm getting like 4mb sfer da a far cry from the 30 mb s2 promiseddaniel s. i would like to inform you that so i said the card is built on the uhs i technology it will give the optimum speed with an uhs i enable device.daniel s. you will get the minimum write speed of 10 mbps with an uhs i enable device.fer da okfer da waste of time confirmeddaniel s. i would like to inform you that if you'll use this card with an uhs i enable device it will give you the optimum speed as it's promise.daniel s. is there anything else i may assist you with? removed one star because of the sliminess of contacting me via amazon to show sandisk cares but not really offering any real support when contacted."
4175,638,"i bought this for only one use, to put in my samsung galaxy s3. i popped in the card, mounted and formatted in settings, and it works like a charm in the phone. however it's in caps pay attention! , when i took it out of the phone and put the microsd into the sd adapter and plugged into the sd card slot on the front of my pc win7 x64 it asked to format the card was already formatted by phone so was confused so i hit ok, no biggie, it was empty anyways. windows did its thing and when it was 34 ready to use 34 it said the card was only 1mb it showed 59.47gb in the phone . so my troubleshooting section of mind kicked in and i removed the card, and i just so happen to have a microsd slot in my computer's frontal bay and it wouldn't even show it was connected in windows explorer. so i took it out and put in another microsd card, voila it read, switched them out again, and nothing. so i decided to pull up my paragon hard disk utility, and it showed the same thing as windows, regardless how i tried formatting it. i gave up and put it back in the phone and mounted it.my s3 said it neded to be formatted. so i formatted it in the phone again and it showed just like it did the first time, 59.47gb. i then proceeded to install samsung kies and got my phone hooked up to my pc via usb cable, i opened the phone in windows explorer and right there it shows the phone memory at 16gb and the sd card at 59.47 gb....i'm not quite sure what's going on with that, because the sd slots in my pc read my other cards just fine. but anyway i guess if you plan on using it in your phone or possibly other device exclusively because i can use it like a charm while it's in my phone, otherwise it seems pretty useless. so i guess just depends on what you're using it for. on a side not, be careful when you open the plastic package that contains the micro sd and sd adapter, be sure to open it over a large clear area, i opened it up the the living room with black tile floor and had to get a flashlight to find it when it jumped out on the holder it just sets in the little plastic holder so even the slightest shake will send it flying when opening i'm giving it 3 5 on here, but 5 5 if you're getting it for a phone, galaxy s3 at least because it works fine in mine"
4211,2079,"note please read the last update scroll to the bottom i'm leaving this review as 1 star as it appears to help others who purchased and had a similar experience.i give sandisk 5 stars for customer service and 1 star for the product for those manufactured in the past for those newly manufactured products that contain the software rom fix, i'd give the product 5 stars.to all those who purchased this card due to all the great reviews.... and then used it in a galaxy s4 gs4 smartphone for storage, the solution to the problem is not one you can solve without returning the card to sandisk for a replacement under warranty. believe me i tried everything that the google searches returned as solutions... formatting as exfat, formatting in the gs4 then copying data to the card while in the phone etc.... nothing worked... and so now please stop pulling out your hair and hopefully you will get the same result which i hope to get soon just rma'd and will send it back tomorrow for a free replacement under warranty .the problem as confirmed from the sandisk customer support rep when i asked specifically asked him when used in the gs4, this card will unmount itself inadvertently may be true only for cards manufactured before the rom patch described below was implemented in manufacturing . this can cause the data to become corrupt luckily was not my experience and or can be very frustrating as most of us are saving 13 mp camera pictures to the card or mp4 movies that stop in the middle of the movie and it unmounts when you view the picture in the gallery or worse, right when you take the picture this was the issue i experienced . sandisk knows about this issue. again, sandisk knows about the issue and will replace your card. call them info below and they will take care of it under warranty. they have a good name for a reason and they want to keep it. sorry sandisk about the 1 star, but i thought it was the way to get the message out to those searching for a solution the customer rep told me that sandisk tried to work with samsung to resolve the issue but samsung refused to acknowledge a problem exists with this card and some of their phones especially their flagship gs4 phones . the customer rep told me that to their knowledge the card works fine in regular cameras not samsung gs4 phones with cameras, obviously and even worked fine in some phones from htc etc. that could accommodate the 64 gb cards. hence the 5 star ratings from others. the solution sandisk came up with was to write a patch into the rom of the card itself to specifically address the issue on samsung gs4 phones and maybe other samsung phones like the gs3 . i was assured that the new card i would get would work flawlessly. will see in about 3 weeks. i purchased my card from amazon june 2013, so the ones currently being manufactured and the one i should get will have the new patch. however, as sandisk manufactures in batches like most of the industry , old batches of unpatched cards obviously exist in warehouses. i asked about a software patch i could download and was told it's not possible... hence the hard coded patch in the card's romso... how to take care of the problem....after speaking with the sandisk us customer support link and info below , this is what i learned and did.go to the sandisk site1 ... 2 call consumer products support this is the us no. 1 866 sandisk 726 3475 3 tell them that the card is unmounting itself in your gs4 i assume this is also a problem experienced by gs3 owners too 4 they will then confirm your information, approve your return 10 15 min approval window by mine was basically instantaneously , and then send you emails with a ups return label and instructions.5 btw, they also asked if i had a magnifying glass to id the serial no. on the card, but i didn't and couldn't read it myself those numbers are super small printed into the plastic... don't believe me? take a look yourself. i told the rep i couldn't read them and he said no problem, they would process without the serial no. i assume this is because they send you a new replacement card only when they receive your card you send in. makes sense.well, that's it. problem hopefully solved. let's see in 2 3 weeks. the rep was super nice about it and seemed like they were all too familiar with the problem. kudos to sandisk for taking care of it... however, it would be nice if there was some type of communication notice of the issue besides google info sources, forums etc. i spent hours, maybe a couple of days total hours worth, thinking it was an issue with my phone my data transfer. oh well, that's how it goes.i really hope that this review helps some of you out there with the same problem as me. good luck!! btw, i'd give the card 5 stars if this problem was solved in the patched rom of newer cards as the data transfer speeds are awesome on the card tested transferring data via a card reader hooked to my computer ... if the data transfer remaining mounted in the gs4 issue never existed pre patch of rom, of course update 08 17 2013 all went well with the return of the sandisk storage card. ups shipping took about 2 days from when i sent it, sandisk verified the warranty claim 1 day later and 5 hours later that same day, my replacement card had been shipped. waiting on the new card now, but expect to test it out very soon early next week . will update the post after testing out the new card. just as a reference, i've been using a 32gb micro sd hc sandisk card in the gs4 since having shipped the 64gb card. obviously it's a different card and not the micro sd xc kind. other than a bit slower access speeds to the card, absolutely zero problems.... well if you don't count that it's basically filled up, hence why the 64gb option is great on the gs4. so it proves the point on the problem with the early build micro sd xc 64gb cards.i'm happy to see that my review has helped some others out there. good luck to you in your warranty claim. my experience with sandisk customer support has been excellent so far.update 08 21 2013 received the new replacement sandisk storage card just a few days ago shipping back to me once they agreed it was defective was a very short time window . have had it running in the galaxy s4 for a few days now without any jumps, stutters or card unloading in the middle of picture or video taking. card seems to work flawlessly as the sandisk rep mentioned it would. one would think it's such a short time to test after a few days of use, but if this were not fixed already it would have dismounted in the first 45 minutes... that's how often and how fast it was occurring. so it would seem the problem is solved. the new sd card makes the phone even more responsive when moving between pictures in the gallery and performing other tasks like copying files to the card. thanks sandisk! unless i update this review by next week, you will know that the problem has been fixed.good luck to those with similar problems as we now know how to get it fixed thanks to sandisks great responsive customer service.update 08 31 2013 this is the last update to this review just to close the loop . the new replacement card from sandisk has been running flawlessly for about 2 weeks now. i have not experienced any of the initial problems. sandisk really did fix the issues in the new batch of cards.update 12 09 2013 the card has been running in my gs4 flawlessly since replacing it around aug 21st. pretty good track record so far 3.5 months so it appears to be fixed with the newly manufactured replacement cards.for those that have left comments that i should change the rating upwards now that the issue is fixed see my addition at the beginning of this review ... when searching for a solution to a problem with a purchased product, most people start at the 1 star reviews to see what others have experienced. this is especially true for products with a lot of reviews this is what i did in the beginning with this product . therefore i think leaving it at 1 star and adding the comments at the beginning should clarify the review.thanks to review commenter da shocker for his input. i think he sums it up very well when it comes to the value of files stored on media like this one more thing.. to those not happy with the one star rating by this person go ahead buy one. take tons of pics vids and save some music on there then when the card crashes come back and give it a five star. a card cost 50 100 pictures from a vacation or family event are priceless.."
4347,518,"once you cut and pry your way through sandisk's packaging, you will be rewarded with a nicely made and high performing microsd uhs1 flash memory. it comes formatted to sd.org's standards in fat32, so it's ready to go for most applications. my single gripe about this product is that they have omitted the usual small plastic box that holds the card and adapter. i use those! since i frequently switch cards between uses, and frequently have them in storage, those little boxes are very useful. it's way too easy to lose a microsd.anyway, here are the results from atto disk benchmark settings anticipating digicam use total length 64mb overlapped i o and qd 4 but it never exceeds 1 segment size in kbytes, read write in kbyte secsize write read.5 9904 163431 14555 170332 13454 273244 14194 353378 15065 3985316 14154 4062932 14277 4295764 13212 44291128 17567 44247256 16209 44442512 15391 444421024 17408 444422048 16229 44442 sorry for the ugly table, amazon does not support consecutive spaces, including alt 255, or embedded tabs this is very fast for a microsd. it's not quite up to what sandisk achieves in full size uhs1 sd cards that can write over twice this speed, but those are electronically more complex cards. the micro form factor likely doesn't permit the additional hardware to achieve speeds comparable to the larger cards. note that the read speed is a lot faster than what sandisk promises. note also that you will not achieve these speeds with a usb2 reader. you will need either a usb3 or built in pcie reader to get accurate results. so do not complain to me if you use a usb2 reader and don't achieve these speeds. in any event, you'd be hard pressed to find anything faster.my personal experience with sandisk products is very good. that is, i've never had anything fail on me. given the very reasonable prices of these, i rate them as highly recommended."
4422,751,"maybe there is nothing that can be done and it is just the way the technology is at this time, but to me it seems that the 64gb sd cards have very limited uses at this time because they are formatted in whats called exfat32 instead of the standard fat32 to get 64gb from a 32gb card. after receiving my card and inserting it into my new android tablet with, jelly bean, it was recognized and it did show i had 59gb available. i then removed the card from the tablet and inserted it into my computers, a win7 and a vista, and tried to transfer files, photos and videos from my laptop to the card they would not transfer! after some research on the internet it appeared that the card had to be reformatted from the new exfat32 to the standard fat32. all my files were created in win xp and win vista fat32. i also have a win7 machine i recently purchased and can easily move all types of files between all the machines and memory cards and flash drives but could not transfer any files to this card from any computer as long as the card was formatted in exfat32. i had read on the internet about reformatting the cards and it working. my win7 machine does not even have the option to format to standard fat32, it only has nstf and exfat32. my older computers have the older fat32 format option and it took my vista computer with a dual core processor 1 hours to reformat the card to fat32. after reformatting i was able to easily transfer my files, photos, and videos on my xp and vista computers but not the win7 computer. the card works in my tablet and i am able to access and use all the files i transferred to the card in fat32 with my vista computer on the tablet. but after reformatting it now the card only has 27gb of space available, so it was essentially reformatted the 64gb card into a 32gb card. i will keep the card because i have a lot of work into it reformatting and transferring files and hopefully in the future i can reformat it again back to exfat32 if and when exfat32 catches on and an os is made that can seamlessly use files created in both fat32 and exfat32. this seems to be a good card that works well in certain situations but my advice do your research on what you have and how you will use the card because this is not simply a big gb card that can be used for everything in every device, unless all your files, photos, and videos are in, or will be created with, exfat32 there are some real draw backs to this card and you might be better off just buying multiple lower gb cards if you really need this much storage space in a micro sd card. or perhaps cards you already own can be reformatted into exfat32 and double the capacity if your computer has the exfat32 reformat option. i have not tried it but based on my experience the last few days it seems like it would work if exfat32 works for you. i gave 3 stars because it does work, but i feel sandisk not fully explaining how they are getting 64gb out of this card and the possible problems a consumer might have with it is misleading advertising."
4586,1262,"monday, november 26, 2012i put this in the galaxy s3 without formatting, restarted the phone and it showed 59.4g gb of space. i transferred all the files from the old 16 gb card and then moved all my music to the card with the phone connected to my computer by the usb cord. still lots of space left and the various music players seem to see all the music.tuesday, november 27, 2012the card didn't show up on the phone this afternoon. no message, just no songs to play and no card according to everything i could check on the phone. i restarted the phone and got a notification that the sd card was corrupt, needed formatting and that i would loose all data on the card. i restarted the phone again, without formatting, and the card came up like it had never been missing. i am writing this on thursday, 11 29 and i have not had another issue with the card.december 6well, i don't know what to think. the card disappeared again and i reformatted it fat32 in an attempt to fix the problem. the whole point of getting this large card was to have my music on my phone and not have to stream it from the cloud. i tried several music players and went with poweramp because of the good reviews and that i could specify the folder to play from. so poweramp is looking for the folder mnt extsdcard music and playing the songs in all the subfolders. it is poweramp that tells me that folder is not available.the card has gone missing one other time and restarting the phone fixed the problem.today, poweramp would not play and when i got home i found the music folder was gone. i also had ringtones folder and it was also gone. now, i may not be the sharpest saw in the shed, but i know i did not delete those folders. the card had other folders but not those two so it had not been reformatted.i am starting to think the problem is with the galaxy s3. i had a 16 gb fat32 card in this phone that had been in my previous htc phone. that card was not large enough to held my music so i don't know if it was disappearing or not. i wish this combination of phone and 64gb card was more reliable but just don't know where the problem lies.i lowered the stars from 4 to 3 but i really don't know if the problem is with the card, the phone or both. all i know is that they do not seem to be playing well together.december 7there was a notification on the phone this morning that the sd card was corrupted and needed to be formatted. i restarted the phone several times and got the notification each time. i reformatted the sd card using the phone, a step i don't think i have tried yet.december 8another minor problem i have is that the message counter gets stuck on 1 when i have no new messages. the only fix i have found is to restart the phone. that happened this morning and i got the corrupted card message again, but restarted again and the card came up ok.december 11so, the files on the card keep disappearing. the card is mounted and the phone shows the correct free memory but poweramp, and file directory programs do not see any files on the card. i restart the phone and the files come back. very strange. i played music on and off all day today without a problem and then this evening all the files disappeared again. restarted the phone and all is well again.december 15my phone upgraded to 4.1.1 yesterday and the same issues remain. it is a crap shoot as to if music will play. i take a lot of photos and use the service zenfolio to store and display them. i have an app that syncs with zenfolio and keeps a phone size version of the photos on my phone. i set this app to store the photos on the samsung sd card and have similar issues with it when the data on the phone goes away. this morning the sd card came up as corrupt again after a restart to get the data back. it took a total of 3 restarts to get the music and photos back.december 18i have been trying to play music stored on this card today and my phone has reset several times. very frustrating. i ordered a sandisk 32 gb mobile microsdhc flash memory card sdsdq 032g affp today for about 25.00 and i'll see if i have the same issues. very disappointing.december 28i purchased and installed thesandisk 32 gb mobile microsdhc flash memory card sdsdq 032g affpand copied all the files from the 64gb card to the new 32gb card. no formatting, no fuss, no muss. i have not had a phone reset since, have played music through bluetooth for hours in the car, have viewed photos. everything just works. half the memory but what i have is always available and the phone works, a good trade off. i am still disappointed that the 64gb did not work with the sg3. i have purchased aelago mobile nano ii usb 2.0 microsdhc flash memory card reader black to use the 64gb microsdhc card as a thumb drive."
