cluster_id,summary,original_reviews
9,"scandisk never gives me any issues when i use their cards. great microsdhc card, use it on my phone for extra storage.","['picked up a note 3 and added this card for an extra 32gb. scandisk is top of the line and never gives me any issues when i use their cards. highly recommended.', ""great card for note 2 and galaxy 3...you can't do this on iphone..lolyou need more storage get this...but i don't really like scandisk..don't trust them..i read they have a lot problems with there cards."", 'great microsdhc card, use it on my phone for extra storage. i have used this brand in the past and it works great. never a problem with scandisk.', 'works as i expected with scandisk. installed and formatted in my samsung galaxy note 3 with no issues. once in the phone, the real amount of usable space is only 59gb just for reference.']"
10,scan disk 64 gig was a good deal and the shipping was quick. the scan dic. would no por matt well known brand at an excellent price. works as expected for the scannerdisk.,"['great price and just what i needed i would recomend this product i think all scan disk products are good', 'was not expecting a micro 30 mb within a standard scandisk. not much to write. performs as it should without any hassle.', 'good scan disk but the wrong one for my camera i needed a class 6 this class 10 locks up for no reason and even will lock up my computer when it does..', 'scan disk 64 gig for under 40 there was nothing to decide. i spent the money and was glad i did.', 'a scan disc is a standard thing however the price for this 32gb was a good deal and the shipping was quick. this was a good buy would definitely recommend !', 'rec and was happy. good price, but we get want we pay for. the scan dic. would no por matt', 'well known brand at a great price. works as expected for a scandisk.i would tell a friend to purchase one.']"
11,"san disk is an add-on memory card for an android tablet. it's easy to use, and never has any problems to date, says mike mccartney - he'll be able to write to himself if it doesn't have 'a disk'","['san disk is hard to beat. you will pay more for the brand but you get a quality product. would purchase again.', 'i always buy san disk as i had issues with other brands and it always works in every application i used it, phone, camera, tablet, etc.', 'san disk has always been a good brand for me. it worked very well for my samsung galaxy phones and tablets.', ""it's a fast, affordable cheap microsd card. what more could i say? san disk too, so it's definitely a good brand to buy."", 'san disk makes good cards however i thing the price is somewhat high.so i got the 32gb for half the price so i will have to download my pictures twice a month instead of once a month', 'purchased this as an add on memory for a new android tablet. san disk has a good reputation and i have never had one fail. purchased the ultra for the speed and was purchased at a good price. i would recommend this item to anyone who needs sd micro memory.', 'nice product very helpfully . we believe in this products san disk if we need more we do not hesitate to buy another one.', 'bought this for my new smartphone. installed easily and works as required. in many years i have had no problems with any san disk product that i have used.', ""and good product. i haven't had any issue with the san disk memory cards so i prefer to stay with them. i have several electronic devices what use the micro sd and they all work great. i would recommend this product."", 'san disk is alway a brand name that i know i can trust. i have never had a problem with any san disk memory card that i have purchased.', 'my last san disc micro card stopped working randomly, and got this one to replace it...it is perfect. its way faster than the last one. good price too.', ""i have never had a san disk failure in 5 different camera's i use from gopro's to a canon 60d. that are great memory cards."", 'there are lots of sd memory cards on the market today, that are cheaper. i have always used san disk, they never fail. fast reliable good solid performance for your digital camera. you cannot go wrong with san disk.', 'great product. i use san disk ultra 64 gb on all of my tablets, i would highly recommend these to all of my friends', 'what can one say about san disk other than it works and keeps working. works well with or without adaptor.', ""i prefer the san disk brand over other types. this is a great size for phones camera's. i would buy again."", ""got this for my galaxy s3 android phone. as with most all san disk products, it is high quality and i don't expect any problems."", ""you can't possibly go wrong with a san disc product! although i purchased this for my son, i have used san disc in the past and have never been disappointed!"", 'never had any problems with memory from san disk. quality good products. buy again for future needs. good for a long time', 'large capacity, fast and functional. san disk continues to provide the quality the public has come to expect. i have never owned or had any problems with their storage line.', 'i trust the san disk name and have no issues. for a phone, class 10 is a must. good price for this product.', ""i feel that san disk seems to make the best memory cards. i can't validate technically but this seems to be fast acess and seems to be problem free. i have confidence that 34 must have picture 34 will be captured properly."", 'work perfect in my gopro camera. i have always found san disk are the best. i would definitely buy again.', 'i find san disk always to be a good choice for storage options. capacity and performance are always top notch.', 'not sure what you can say about a storage disk. it arrived on time, works as advertised. i had no trouble installing it in my new yoga 10 tablet.', ""a well made replacement part for use with my system. reads and writes quickly to my camera. the down side i do not like the size of this card. very tiny and often difficult to remove from my canon camera. not a reflection on the san disk card quality but the industry move into micro miniture cards. i won't buy another camera using micro sd cards."", 'what can you say about a disk. it is doing the work that it was made to do. i am happy with it.', 'i owned one of these for a year before it lost its ability to write to itself. this was very disappointing, but not a deal breaker for me because san disk products are usually built to last. i believe i just received a bad one from the batch that mine came from.', ""this is a great disk and i have never had any problems with the product. what can you say positive or negative about a product that does it's intended purpose of storing memory. well made, simple to use, and never a problem to date!"", ""i've been a sandisk user for years and never developed a problem with a disk. amazing how much these little disk can hold!""]"
12,the sdcard has yet to do it. bought this as a replacement for another 64gb micro card i had for about two years before it died on me last week - no issues with this 'as of yet',"[""it's been a month now with this sdcard in my phone. i transfer an average of 3gb of data to and from the device per week. the sdcard is holding just fine. where most tend to crap out or cause problems, this has yet to do it."", 'i started useing it the minute i got it, transferred 30g from my old sd card to the new 64g micro card with no problem. arrived on time and packaged well.', 'bought this as a replacement for another 64gb micro sd card i had for about two years before it died on me a few days ago. no issues with this as of yet. loaded up just fine read and write speeds seem fine as i was able to transfer over 27gbs of data in a few minutes. using it in a note 3 with no issues.', ""replaced another brand class 10 32 gb micro sd card for my phone. i didn't know how bad i had it before i put this in and started transferring files. it was so much faster than my previous one. i am pleased.no issues with delivery or description."", ""i've heard bad things about this 64gb micro sd card crapping out after a few weeks but sk far so good. transfer speeds are normal but i like to be space. for the price it was a steal!would recommend.""]"
13,"the write speed is a little faster. this card is perfect for your tablet, smart phone, or any other device that allows for expandable memory.","[""although it may be overkill for the application, considering its capacity, this appears to work very well for firmware memory for the raspberry pi, and at the price i bought it for on last year's cyber monday, i wish i could buy a few more of them for the same price. i haven't tried it with the rpi overclocked, but it's worked without a glitch at the normal rpi clock rate. i've also used the 32gb version of this in my music player, and it has worked well also."", 'the internal memory on my asus tablet is kinda slow. i installed this bad boy into my tablet and install the os onto it. now the tablet runs nice and fast!', 'i bought this card as high speed external memory for my asus me302c tablet to play movies, music, etc. the card meets all of my expectations, and was pleasantly surprised to discover that it had absolutely no crapware preloaded. no compatibility issues whatsoever.', 'i use this card in my tablet, no problems, very fast. excellent product and very highly recommendit was just what i needed for my tablet. just the right amount of memory and the right price', 'with the onboard memory, plus this expansion card, my android tablet has more memory than my ipad. can i tell if the fast memory is really fast? no, not really. it seems to be compatible with my samsung galaxy note 10.1, no error messages, so i guess life is good.', 'i purchased this to increase the memory of my samsung galaxy 10.1 tablet. just placed it into the slot, was instantly recognized and thus saving my internal memory and increasing the memory of my device. price was the best, i went to several sites and price closest was 98. shipped through my prime and got it in 2 days. i have seen no issues with this card and am very happy with the purchase.', ""i was pleasantly surprised that my card arrived ahead of schedule. that's always a plus in my book. the works without a hitch. i was able to copy the files from my 16gb card to this one relatively quickly and very easily. my samsung galaxy tab 2 7.0 read the card perfectly. i have no complaints about the card although i expected the write speed to be a little faster. after all is said and done i would definitely recommend this card for your tablet, smart phone, or any other device that allows for expandable memory.""]"
14,i bought another awesome product. it's cheap and have a lot of memory. good value.,"['very good product. i got tired of taking pictures and the memory is not over. so good that i bought another', ""awesome product. it was worth if of buying. it's cheap and have a lot of memory, not to mention the fast processing."", 'good value. it has great speed and memory for the purpose it serves. i wish my memory was this good.', 'really good deal, definitely a good way to save money buying an item with less memory and buying one of these is a lot cheaper', 'a truly great value, not nearly as expensive as i thought it would be. lots of memory and good speed as well.']"
15,"the oldest one is over a year old, and he bought his third one. the camera frequently will report if the card has to be reformatted. i bought my logitech alert 750e outdoor master security camera's.","['bought a digital recorder with a memory card slot. this card worked perfectly. no problems and my files have a newhome. definitely worth the price and met expectations for data storage.', ""i have three of these cards now, being used between 2 devices. the oldest one is over a year old, and i just bought my third one. i've had no problems or errors of any kind, nor have i lost any data off any of them. i'd consider them a solid investment and great memory cards for the price per gb. they even see 34 abuse 34 in that they get used in a helmet sports cam sometimes, and all the shaking and hits haven't affected my card's ability to store video in the least."", ""i bought two of these memory cards for use with my logitech alert 750e outdoor master security camera's. so far, i have found them to be unreliable. i am not entirely certain if this is because of the camera system or the memory card themselves. the camera frequently will report a memory card error that indicates the card has to be reformatted. this is problematic as if the camera had recorded something that was important, the failure of the sd card would be very troublesome indeed.""]"
16,"i bought this chip to increase the use of my smart phone. the sandisk warranty is outstanding.get them from amazon,they are much cheaper.","['bought one for my gs3 phone and when i bought my wife the same got her one too. they seem to work seamlessly.perhaps over kill for us but cheaper per gig than smaller gig chips...', 'great price for a great chip, it worked perfectly in my new smart phone. i swapped out a 4 gig chip with this one, and now i have lots of excess storage capacity.', ""no complaints. worked in every piece of electronics i've tried them in. i've run across fake chips online before, but these are high quality at a good price."", 'this chip is holding all my music and photos so they are ready to share with friends and family on my tablet. quick response and no drop outs or lags. price was amazing!!', ""works as expected and was nice that it came with a holder. not sure what else you can say about a chip, either it works or it don't? one never knows until they use it for a while how it is working..."", ""this was a good deal for my wife's new samsung galaxy iii,..fit right in i did remove the battery first,..and so far have had no issues with the chip.....does what it's supposed to."", 'price was great on amazon and now even better. have the chip in my phone and it appears to work great.....fast and so far no errors have been encountered.', 'love this chip,... bought this for my samsung s4, it works well and fast.... no issues with it, so i bought one for my mom....', 'i bought a new phone and got this chip because it was the largest the phone would accept. i keep a lot of pictures on it. 100 satisfied.', 'i had to return this and get another one, as the first was faulty. i hear this is semi common.must not have enough testing, i might suggest buying two and returning one if you are in desperate or sudden need of one of these chips, no matter what size.', 'very confident with this brand, never failed me ever since. placed it to my e72, performed great. looking forward to long years of using this chip.', ""the chip worked fine, fit perfectly, but it is so tiny, if it falls out you are going to have a hard time finding it.if your application is a tablet, or pad, if it has a 34 push in 34 holder...you will want to put some tape, or other securing agent across the top of the chip and onto the table sides. if i had thought of it, clear finger nail polish would have worked just fine, or even a half drop of super glue on the top.i didn't, and it's forever gone now. i changed from android to ipad and very satisfied that i upgraded to apple."", ""hard to review this. it's an amazing little chip with huge capacity and it does what it's supposed to do. 5 stars."", 'tony the tiger has nothing on this deal. it was only 1 more for this chip than it is for the generic version from micro center, so i could not resist. i tossed this into a samsung galaxy note ii, which i also love.', ""what can you say about a chip? it works, it's fast and has been trouble free. a great product at a great price."", 'this chip replaces my previously fried out offbrand microsd. so far it has performed flawlessly. if it fails, i will update the review. i have a droid razr m smartphone.', 'these sticks have always served me well. this new chip will go in a new asus trans. merry christmas to me.', 'is, what it says it is! great chip, fast, reliable. 6 months so far, not a single problem, and lots of handling too!', ""no problem with setup on this. instructions were clear. quality of chip is high and i expect to get many years of service life from it. when i'm finished with it i think i can use it with that jar of onion sour cream dip i bought in 1985"", ""got this for my cell phone, most likely more storage than i will ever need but at this price going with a lower capacity chip just wouldn't save that much money and didn't make sense. exactly as pictured worked without a problem."", 'best buy wants almost a hundred dollars for this chip.it works perfectly in my samsung galaxy s111. this is a outstanding phone.it was updated to jellybean 4.3. it works flawlessly.i now have all the memory that i need in my phone.the sandisk warranty is outstanding.i doubt that i will ever have to use it.if you need to buy any chips,get them from amazon,they are much cheaper.best buy is getting greedy.', 'i bought this chip to be used to increase the use of my smart phone and it has increased the memory. at least for now.', 'i got this initially for my cellphone, however i have moved it to a raspberrypi, and it has been flawless, the storage is nice and the chip is fast, no issues to date.', 'now, two phones later, and still have never had a problem! dont think, just buy it!now im just waiting for 128gb chips haha', 'i got two of these for two nokia 822 smart phones. be sure and contact your provider to find out what is the largest chip your phone can handle? sw', 'this chip has done very well for my samsung galaxy note 2. i would highly recommend getting this brand. i have had other brands to have failed and taking all of my data with it.']"
17,the card appears as available and with the promised storage capacity in the 34 my pc 34 folder of the computer. it works great for additionals storage in an os tablet.,"[""i bought this card to extend the storage capability of my tablet. it holds hundreds of my short video files without having to use the tablet's built in memory. transfer speed from my computer into the card is relatively fast. if someday i may need more storage in the tablet i can always buy another one of these cards."", 'i use this card to back up some of the files, that i have on my work computer at home . and be able to use them on my laptop computer', 'i bought this card for use with my asus transformer book t 100ta to add external and removable replaceable storage capacity. when inserted into the slot provided it was immediately recognized and the driver installed. the card appears as available and with the promised storage capacity in the 34 my pc 34 folder of the computer. i have been able to move files on and off the card as intended. the product is fine and the price was satisfactory.', 'this is a good, fast card, with plenty of capacity and it works great for additionals storage in a microsoft surface rt tablet.hint you can add the space to your windows libraries for a more seamless experience in the os by creating a few empty, dummy folders on your c drive, then using the windows disk management console to map those folders to the folders on the card.info on that here ...']"
18,this card fits perfectly in my tablet. the card has many pictures and games and also my music. it was a great little memory card for using with my microsoft surface pro tablet.,"['this card is exactly what i was expecting. it fit perfect in my tablet. i have enough memory to add my playlist of songs.', ""this was a great little memory card for using with my microsoft surface pro tablet. i'm able to have my music with me at all times, plus a large number of photos.one item to note this type of memory card may not be suitable for high speed applications such as with a camera or for storing virtual hard drive type information . these micro cards are a 5 star if used for their intended purpose."", 'i use this memory card for my tablet that has many pictures and games and also my music, one can not go wrong with lots of music and this memory card really helps me keep it all.']"
19,note 2 and note 8 are faster compared to previous versions of sandisk microsd.,"['i purchased this to go into an external wireless connect drive that is made by the same manufacturer. other than having to format it differently than the default a very simple process , i have not experienced any issues with it.', 'works as advertised. this is better for using with the newer products. i have noticed a increase in speed with my note 2 and note 8 when compared with previous version of sandisk micro sd.']"
20,"i bought this to put into a wifi enabled usb flash drive. it works fine, and streams downloads uploads very quickly!","['i bought this to put into a wifi enabled usb flash drive. it works fine. i can get my entire cd collection on it, which was my goal.', 'i love that you can get these things so cheap from amazon, vs. getting them at the major electronic stores for double the price. it works perfectly, and streams downloads uploads very quickly! i love the adapter that comes with it, too so i can use it for transferring files from a computer notebook faster than a 3.0 usb thumbdrive dongle. great buy!']"
