cluster_id,summary,original_reviews
9,i think a really good memory card at good price. just choose the amount of space you want and you're done!,"[""get just about you want in it, plenty of space to keep your best shots and memories. it's the best and the price is very reasonable."", 'i think a really good memory card at good price. i got it and still have s lot of space for all my music and videos.', ""no much to say it is worth every penny! just choose the amount of space you want and you're done!""]"
10,bext buy price quality gives you more memory for your tablets that accept micro sd cards. it even comes with a converter so if he'd like to use it for images or movies...,"['does the job as advertised.if you need extra memory on your phone tablet or whatever device, this is bext buy price quality', 'gives you more memory for your tablets that accept micro sd cards. just that simplethis is very good quality.', ""i bought this for my android device and it works great!it even comes with a converter so if i'd like to use it for images or movies i could!i'd highly recommend this product to anyone needing memory for their phone, android player, camera or anything that uses sd and or micro sd!"", 'a very good product and very useful for my smart phone, adapter works fine.recomended for all th smart phones that can expand to 64 gb', 'es un producto que recomiendo ampliamente solo se instala en el telefono este lo formatea y listo esta en fincion para ser utilizado al 100', 'a great product and a very reasonable price. it has increased the galaxy tab 2 memory and useability without having to deal with other interface cables.', 'very usefull to use in the phone also they come with the adpator to sd i will remomend it', 'one the better names in making computer accessories, this works just fine in my lg optimus g pro, now i have 64gb. i will purchase again']"
11,the sd card is a nice plus and comes in handy for pc transfers.,"['works great in our smart phones. gives us a lot more memory. comes with an adapter if you require the ability to put it directly into your computer with a normal sd slot.', 'fast, great storage. we used this sd card for a new samsung galaxy s5. works like a dream. well formatted and fast. i would recommend this product to anyone who need a high gb sd card. the added on sd adapter is a nice plus and comes in handy for pc transfers.']"
12,"the price isn't bad, but it's a great product if you're looking for the best os for your office. it works well for this task and is quick and easy to use.","['very fast, reliable product. i use it every day in two computers, saving multiple files from one pc and moving them to another as backup.', ""i use this because my office use all window os and i'm the only one with a mac os, so file transfers between computers are easy with this little thing"", ""i use it to hold files from my computer and transfer files from other computers it works good for this task and is quick. i would recommend this plus the price isn't bad.""]"
13,i bought the more expensive micro with adapter rather than full size sd. bought this for canon powershot n because it takes a micro - it fits into the top of the micro disc and then the whole thing fits in my camera.,"['works fine in my sony rx100 using the provided adapter, but who would expect otherwise. bought the more expensive micro with adapter rather than full size sd so that i can move it to other devices that take micro sd.prime shipping arrived in one day.', ""when i needed more video capacity for my canon camera, the sandisk 32 gb micro card with included adapter was exactly the right tool for the job !!i've had several sandisk memory cards in the past, with never a glitch of any kind.highly recommended !"", ""when i opened the micro disc and adapter i did't know what to do with them. i went to utube on installing them, and all became clear. the micro fits into the top of the adapter and then the whole thing fits into my camera. very neat and high powered."", 'bought this for canon powershot n because it takes a micro. i always use ultra or extreme pro sandisk, since they are my preferred brand, and i like them for had video and continuous snapshots. no problems with the card, came with working adapter. happy with this purchase would and probably will buy more.', ""i like this product as it works very well. at first it only showed but when i plugged my camera using this micro sdhc into my laptop and seen that this card had 2 partitions on it, i had to chose the correct one to use, otherwise i couldn't take many pictures or videos.""]"
14,"used them in several camera models d800, nex 5n and hdr as15 all worked great. they seem to be fast and supply the full advertised memory capacity.","['i have a couple of these and have had no problems with them at all. they seem to be fast and supply the full advertised memory capacity.', 'used it in several camera models d800, nex 5n and hdr as15 all worked great with no issues. i am definitely thinking about getting a few more of these since amazon has an unbeatable price.']"
15,samsung gives you the ability to install apps on your galaxy devices. i bought this one and have yet to experience any issues!,"['samsung gives you the ability to install apps on your sd card with galaxy devices. i had a class 4 sd card before and initially blamed the tablet. i thought i was going to have to get it replaced. it was the sd card.i got this sd card and have yet to experience any issues! love this thing!', 'since my samsung s2 could not take the 64gb card, i bought this one. like i expected it works great and no problems so far.']"
16,the 64 gb works great not sure what else to say about it really. it is 64 gigs and it's great if you're looking for a gig or something to do with it.,"['as described, no problems. recommend it.only problem, price is too high. ...i may order the 64 gb as well.', 'its 64 gigs it works great not sure what else to say about it really. not much else to say.']"
17,sandisk is a good brand so i didn't hesitate to purchase it. the chip works great and added more memory for my new lg phone. it is very trust worthy.,"[""have always had good experiences with sandisk products. this was priced well. i have installed it in my wife's cell phone and it was immediately recognized. not quite sure about the features this chip is supposed to have but for the amount of memory it was a good deal extra features or not."", 'it works great and added more memory for my lg phone. sandisk brand is very trust worthy.i recommend it highly.', ""i needed this for my new phone. it works great!sandisk is a good brand so i didn't hesitate to purchase it."", ""i ordered this to use with my new samsung galaxy sii phone. i've used sandisk in the past and have always had great luck with their products. i would definitely recommend this product.""]"
18,the included adapter works great in my samsung galaxy tab 2 10.1. can access instantly both from my tab and by usb cable.,"['works great with my samsung galaxy tab3. transfer speeds are excellent with this card.i would recommend this card to everyone.', 'looking for a good memory card then this is it. its fast and it works flaw less with my samsung tab 3', 'i used this in my samsung galaxy tab 2.0, and transfer rates are pretty good when going straight through usb. it does act a little peppier however when plugged straight into a card reader.', 'this works well and is speedy in both my samsung galaxy s3 and my samsung galaxy tab 2 10.1. the included adapter works great in my pc memory card slot as well.', 'item as described. fits well in my galaxy tab 2. can access instantly both from my tab and from my computer when i plug my tab to laptop by usb cable. i like it!']"
19,"amazon thanks to amazon for showing me what type of memory card i needed. amazon is a great sd card, works great, as expected.","['memory cards best in world. the memory card completely corresponds to the description. i am happy, my smartphone is happy, my tablet is happy. amazon thanks', 'thank you amazon for showing me what type of memory card and adapter that i needed. i love buying everything i need at once to use my electronics purchases.', 'what they charge at retailers for sd cards is ridiculous. i always order via amazon, and never a dissapointment! great sd card, works great, as expected.', 'perfect just what i wanted! i get all my micro sd cards from amazon because sandisk are the best and the best price is here.', 'always happy with my sandisk cards. used this one for my new contour roam. worked like a charm.....awesome quality..thanks amazon!']"
20,this item arrive on time and it stores stuff you need to store. arrived ontime and did everything as expected - it was a nice item!,"['this item arrive on time. upon receiving it i put it in an electronic device and it stores stuff you need to store. nice colors too.', 'arrived on time and did everything as expected.more then enough cap to hold severail hours of recording']"
21,"i bought this to create a bootable sd card so that my nook hd could run pure android instead of the native android. it was easy to install and works great, given that the price was great too!","['i bought this to create a bootable sd card so that my nook hd could run pure android instead of the native nook os. it works beautifully.', ""i bought this to change my nook to android and boot off it. it's fast and reliable for daily use."", ""i used this to turn my nook color into an android. it was incredibly easy to install and works great. i haven't had any problems with it. the read and write speeds are phenomenal, given that i am running an entire operating system off just this card. the price was great too!""]"
22,bought it for memory in the smartphone. so far it does what it is supposed to. remember what i save.,"['bought it for memory in the smartphone. so far it does what it is supposed to. remember what i save..', 'what can i say about a memory card? i purchased it to increase the memory in my phone, it fits as it should, and works as it should.', 'not much to say..bought it to use with my smartphone. it works as expected and allowed me to free up my internal memory.']"
23,"i bought 2 of this, one for a hero3 camera and one galaxy s3 mini. the adapter works excellent, recommended for video shooting.","['i bought 2 of this, one for a hero3 camera and one for a galaxy s3 mini, they both work excelent, recommended for video shooting. very good price!with the adapter you can use it on a sd card reader sdhc compatible', 'for the price these cards provide a good compromise in terms of speed and cost. i use them with iogear usb 3.0 adapters and they work well in that capacity.']"
24,"solid micro sd card with gigantic space.it works. awesomely. lots of room, enough speed and everything that i need portable is going along for the ride. no loss of data for me.","['got extremely solid speeds with it, no slack on my android. solid micro sd card with gigantic space.it works. awesomely.', 'lots of room, enough speed and everything that i need portable is going along for the ride. no loss of data for me.']"
25,amazon sells this card for a great value! no local store even comes close to this price. amazon is the only place you should even think about buying this little powerhouse from. it is not the regular 32 microsd its the high capacity ultra...,"['amazon sells this card for a great value! no local store even comes close to this price. it has plenty of room on it for lots of storage.', 'i shopped several other places for a good deal on a quality memory card and found it at amazon once again', 'this was a great price for this card, and they are not cheap made. save several buying form amazon, the local stores was a lot higher...', 'i have been looking for a 64gb memory card and i found one at our local electronics store but it was over 100. i logged onto amazon.com and found this at a great price. why pay more when you can come to amazon and get it for less.', ""no brainer. this is not the regular 32 micro sd its the high capacity ultra...just go price this baby anywhere else and you'll see that amazon is the only place you should even think about buying this little powerhouse from. no brainer."", 'i was looking for a while for one happy i found this the price was great bestbuy wanted double the price for it ill never buy on bestbuy again only amazon']"
26,"great storage, has not failed yet after about a year of usage. price was not too high either. would recommend gps.","['great storage, has not failed yet after about a year of usage.', 'i love this storage unit. i would buy again definitely. great for pix, videos, docs, or whatever you want to store. i have it in my me173x.', 'does exactly what it is supposed to. plenty of storage for me gps. price was not too high either. would recommend.', 'so fr it been great i need it for my not 0. 2014 table too bad it cost so much but it is what it is', 'great for pictures and music. came in a very secure package and a lot of storage for my files. reasonably priced also.', 'so far so good boosts my table storage big time now i can keep all my pics and music with me all the time price and promptness was awesome', 'excellent storage and small! works well and does everything i need it to plus it came in at a good price.', ""i've heard horror stories about other models but this one is good and it really makes life easier and allows for plenty of storage."", 'what can you say beyond the headline. it works as expected. i would buy more when i need reliable storage.', 'device works exactly as expected. holds a lot of music videos. would recomment to anyone. great product! what else can i say!', ""works as expected! can't complain about it has plenty of storage for pictures and videos! will buy again when needed!"", ""good deal at a great price. it is sturdy and has over 31 gb after its format. i'll be getting another."", 'does what it suppose to do....works great works well. good price. would buy another. good storage for any digital file.', 'this product has served me well for the last two months. it has a lot of storage and it was reasonably priced.', 'good storage', 'works perfectly and has enough storage for many hours of recording.could be the best one out there for the price.recommend this one.', 'great price and works great. if you want more storage at a reasonable price, i would highly recommend this product.', 'best price deal for me getting a good name brand. have not actually used the storage to date. glad to have the storage.', 'this was purchased on a special and the price was right! it works great, plenty of storage space, and the great price sealed the deal!']"
27,"sandisk rmaing the new card,edit has suffered with this card for a year. it doesn't seem any faster or slower than any other microsd card i had - bought cheap imitation on ebay and regretted it as it crashed! nokia pureview 808 card freezes constantly unless you","[""im currently using it for my nokia lumia 810 and my camera, works very well and very fast! but expensiveedit i was really happy with the card until i had to record video on it. it seems that it doesnt write fast and my recordings end up being choppy and unwatchable. i was really disappointed in it, cuz i had to switch back to my phone's storage when recording video."", ""i got this for my brand new nokia lumia 810, but there is some kind of problem, the card is horribly slow, i can't record hd video to it, it studders. i've tried reformatting several times to no avail. i didn't have any of these problems with my old 32gb class 4 sandisk card... there are other people having this problem as well, seems hit or miss. i can't recommend this card at this time for this reason.edit i've contacted sandisk and they are rmaing the card. i'll improve the rating if the new card corrects the problem.edit got the new card, problem still exists...edit i've suffered with this card for a year now, the only problem is that i cannot take video without studders, so i figured maybe software updates would eventually fix the problem. they have not. i have used multiple different camera apps, and the problem still persists."", ""so far, so good. it does what it's supposed to do. doesn't seem any faster or slower than any other micro sd card i had. bought a cheap imitation on ebay and regretted it as it crashed. it really doesn't pay to be cheap with memory. it's all about the reliability, which you get with this product.10 17 update big problem with this sd card if you are a windows phone user does not properly record hd video. video recording to sd card is consistently choppy. pop in another sd card records fine. record to my phone records fine. i've tried formatting it every which way and it isn't working well. go with another brand windows phone users."", ""works just as it should in my lumia 810 no issues at all. the phone is not a particularly speed sensitive application for the card so i cannot comment on how well it works under stress. the phone doesn't complain, music plays nicely from the card, pictures are written to it without delays. the red and gray design looks different and interesting, even though no one will see it."", ""1080p 30fps or 720p 30fps or 24fps using the nokia camera app or regular app doesn't work. well it does but unless you want to see stuttering every 6 7 seconds. it freezes up constantly. very glitchy because its slow. got a 9mbs write 44.9mbs read on mine."", ""used on nokia pureview 808 for video and photographypro was cheap and fastcons will freeze from time to time or disk error message comes in and i would lose things i've either photographed or filmed using my nokia pureview 808. in order to make the microsd work, i have to restart my phone every time. the error message comes and go.07.17.13 updatei returned and exchanged my card with a new one free of charge by amazon who's willing to pay for shipping too. it turns out, my previous microsd ultra class 10 sandisk was a defective card. the new card i receive works well now and no error message pops up on my nokia pureview 808 smartphone. i can now film and take pictures with it without having to worry. thanks amazon.""]"
28,i was looking for a memory card for my phone. this is by far one of the best you can get and the price is unbeatable - it was too good to pass up the deal if he wanted to upgrade my cell phone and have an 8oo dollar card ready to go.,"['i needed to get more space on the sd card in my phone, so naturally! i turned to a product i know for its quality and attention to details. i want to be sure my photos and other data are held in a safe place. for the money, you cannot beat this product and i will buy again.', 'this is exactly what i was looking for to upgrade the memory of my smartphone. good transfer speeds to using sandisk product, and great pricing from amazon.', 'i wanted a memory card for my phone so i started looking around online, this is by far one of the best you can get and the price is un beatable', 'i like to keep track of the 34 daily deals 34 and check them almost daily resulting in me spending more than i should , but this was too good of a deal to pass up. i will be upgrading my cell phone soon, so i knew i would be needing it soon. so, at 30 with an adaptor and in retail packaging i jumped at it and am glad i did!', ""great memory card! got this on one amazon's daily deals at a terrific price! getting ready to upgrade my cell phone and want to have a larger capacity memory card ready to go. this is just what i needed!"", 'with an 8oo dollar phone, i want as most as i can get, and this mem card was the way to go.']"
29,a word of advice if you need to write to these cards often buy something else. don't do what i did format the card then use it windows pc - it cost about 15 less!,"[""if, like me, you are still happily in the stone age with windows xp, your computer will not be able to use this card unless you install windows update kb955704. this update is available from microsoft.com.thanks to dogg94, who pointed this out in customer questions and answers on august 6, 2013. i installed this update and am now able to load gopro's pictures onto my computer. dogg94's answer to the customer question provides the link to the update. amazon did not allow me to post the link here. i don't know why. just go to the microsoft.com updates site and look for kb955704. or go to the indicated question for the link.the product description should have provided this information."", ""this card only lasted two weeks before it began giving read errors. i used it in a dash cam and no matter how many times i formatted, it would only record for about a minute before failing again. i picked up a pny card since and it has worked beautifully. unfortunately, i've been swamped and forgot to return this card before my 30 days. not happy about that!"", ""i bought two of these memory cards for use with my logitech alert 750e outdoor master security camera's. so far, i have found them to be unreliable. i am not entirely certain if this is because of the camera system or the memory card themselves. the camera frequently will report a memory card error that indicates the card has to be reformatted. this is problematic as if the camera had recorded something that was important, the failure of the sd card would be very troublesome indeed."", 'i had this sandisk 32gb class 10 micro sdhc card in a pittasoft blackvue dr500gw hd in car camera dvr. it worked like a champ for 2 months and then died with the dreaded please format the sd card errors. stuck it in my mac mini 2011 and it is unrecognizable. same with windows pc. even the low level hp sd card formatter cannot reformat it. so in the garbage it goes. i have 2 more of these cards in my garmin gps devices and they continue to work so far but they are not being written to continually every day like the blackvue. so a word of advice if you need to write to these cards often buy something else.', ""i didn't format the card 1st and it cost me my video. don't do what i did format the card then use it windows pc i'm not sure if you have to format 1st when using mac. i used a pny sdhc 16gb card and it did just as good as the sandisk and it cost about 15 less, i think that's the better way to go, you're getting the same results just not as long of video time.""]"
